,_id,userId,adId,visitedCnt,createdAt,updatedAt,__v
0,63e13b523ad7a444eaa6c499,63de6ced6a2522703ae3a0a0,63dd4709e0bb1819ce0a0be6,4,2023-02-06 17:39:30.640,2023-02-06 17:52:34.066,0
1,63e13b903ad7a444eaa6c4a7,63de6ced6a2522703ae3a0a0,638e1cc9845f19d3066909d6,3,2023-02-06 17:40:32.780,2023-02-06 17:53:38.541,0
2,63e7eb76a94cd3660beb5b5c,63e25e32e258f1cb84078bfe,63e7eb6ba94cd3660beb5b52,2,2023-02-11 19:24:38.565,2023-02-11 19:25:22.673,0
3,63e7eb98a94cd3660beb5b6e,63e25e32e258f1cb84078bfe,63dd4709e0bb1819ce0a0be6,1,2023-02-11 19:25:12.337,2023-02-11 19:25:12.337,0
